Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A9 Nutzung von Sende- und Empfangsprotokollen,Standard,Ja,Die Kurzwahltasten und Adressbücher auf dem Faxgerät werden regelmäßig geprüft. Nicht mehr benötigte Faxnummern werden gelöscht. Die Änderung an den Kurzwahltasten und Adressbüchern werden im Systemmanagement dokumentiert.,Sicherheitsrichtlinie TK-Anlage,IT-Betrieb
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,"NET.4.3.A10 Kontrolle programmierbarer Zieladressen, Protokolle und Verteilerlisten",Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A11 Schutz vor überlastung des Faxgerätes,Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A12 Sperren bestimmter Faxempfänger-Rufnummern und Absender-Faxnummern,Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A13 Festlegung berechtigter Faxbediener,Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A14 Fertigung von Kopien eingehender Faxsendungen,Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
T002 Faxgeräte,NET.4.3 Faxgeräte und Faxserver,NET.4.3.A15 Ankündigung und Rückversicherung im Umgang mit Faxsendungen,Erhöht,Entbehrlich,Aufgrund des geringen Schutzbedarfes nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A1 Personalauswahl für administrative Tätigkeiten,Basis,Ja,"Die Mitarbeiter werden entsprechend der Kompetenzprofile ausgewählt. Alle Mitarbeiter sind verpflichtet, sich mindestens einmal im Jahr fortzubilden. Es werden keine administrativen Aufgaben an Dritte übertragen.",,Leiter Personal
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A2 Vertretungsregelungen und Notfallvorsorge,Basis,Ja,"Jeder Administrator hat einen Vertreter für seine Tätigkeiten, so dass dieser im Notfall auf die Systeme zugreifen kann. Zusätzlich gibt es definierte Notfalluser, dessen Anmeldedaten jedoch nur einem begrenzten Benutzerkreis bekannt sind.",,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A3 Geregelte Einstellung von IT-Administratoren,Basis,Ja,"Die Administratoren werden nach und nach in die für sie relevanten IT-Systeme und Anwendungen eingeführt. Diese werden dazu verpflichtet, sich an die Sicherheitsrichtlinien der RECPLAST GmbH sowie an die rechtlichen Rahmenbedingungen zu halten.",,Leiter Personal
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A4 Beendigung der Tätigkeit als IT-Administrator,Basis,Ja,"Der Austritt der Administratoren ist genauso über eine Checkliste der Personalabteilung geregelt, wie der Austritt von anderen Mitarbeitern. Für die Administratoren wird jedoch eine differenzierte Checkliste genutzt. Diese beinhaltet Aspekte wie den Entzug von Rechten, Rückgabe von Schlüsseln, IT-Systemen etc.",,Leiter Personal
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A5 Administrationskennungen,Basis,Ja,"Jeder Administrator verfügt über eine personalisierte Adminkennung. Die Adminstrationsrechte werden anhand der Position des Mitarbeiters vergeben. Der Adminaccount ist nur für administrative Tätigkeiten zu nutzen. Tätigkeiten, welche keine Administratorrechte benötigen sind über den Standarduser zu erledigen.",,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A6 Schutz administrativer Kennungen,Basis,Ja,Administratoren müssen sich immer über einen zweiten Faktor authentisieren. Es sind nur sichere Protokolle für administrative Tätigkeiten erlaubt. Alle nicht sicheren Protokolle werden systemtechnisch auf den IT-Systemen bzw. der Firewall deaktiviert. Die Anmeldevorgänge der Administratoren werden protokolliert und zentral gesichert.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A7 Regelung der IT-Administrationstätigkeit,Standard,Ja,"Die Aufgaben und Pflichten der Administratoren sind im[Administrationshandbuch] beschrieben. Durch die unterschiedlichen Kompetenzprofile, werden die Überschneidungen der Tätigkeiten verhindert. Die Regelungen werden regelmäßig überprüft und aktualisiert.",Administrationshandbuch,"Leiter Personal, Leiter Informationstechnik"
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A8 Administration von Fachanwendungen,Standard,Ja,"Die Kommunikationswege, Ansprechpartner etc. sind definiert. Administrative Eingriffe in Systeme sind immer vorher mit dem jeweiligen Fachbereich abzusprechen. Die Aufgabenteilung wird im Administrationshandbuch definiert.",Administrationshandbuch,IT-Betrieb
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A9 Ausreichende Ressourcen für den IT-Betrieb,Standard,Ja,"Es existiert eine Ressourcenplanung für den IT-Betrieb, welche unvorhersehbare Tätigkeiten berücksichtigt. Entsprechend der Planung wird das Personal eingesetzt und die Aufgaben geplant. Die Ressourcenplanung wird jährlich geprüft und ggf. aktualisiert.",,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A10 Fortbildung und Information,Standard,Ja,"Jeder Mitarbeiter ist verpflichtet sich mindestens 1 mal in 2 Jahren fortzubilden. Diese Regelung gilt auch für Administratoren. Sollten neue Systeme oder neue technische Entwicklungen eingesetzt werden, werden die jeweiligen Mitarbeiter entsprechend geschult. Diese Schulungen werden im Schulungsplan berücksichtigt. Zusätzlich gibt es Mail-Newsletter, welche die Mitarbeiter erhalten, von bestimmten Technik-Webseiten, die über aktuelle Sicherheitsprobleme und Neuerungen informieren.",,Leiter Personal
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A11 Dokumentation von IT-Administrationstätigkeiten,Standard,Ja,"Für jede Änderungen an Systemen ist eine Dokumentation im Systemmanagement zu hinterlegen. Diese muss Informationen über das Datum, die vorgenommenen Änderungen, Grund der Änderung und durchführender Mitarbeiter enthalten.",,IT-Betrieb
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A12 Regelungen für Wartungs- und Reparaturarbeiten,Standard,Ja,"Die Wartung von Technik wird durch die interne Haustechnik-Abteilung durchgeführt. Dazu gibt es eine Checkliste, welche vom Techniker auszufüllen ist. Sollten Reparaturen von externen Dienstleistern durchgeführt werden müssen, greifen die Regelungen aus der [Besucherrichtlinie].",,IT-Betrieb
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A13 Absicherung von Fernwartung,Standard,Ja,"Die Fernwartung ist nur über bestimmte IP-Adressen möglich. Dadurch ist sichergestellt, dass nur ausgewählte Mitarbeiter eine Fernwartung durchführen könnnen.",,IT-Betrieb
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A14 Sicherheitsüberprüfung von Administratoren,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A15 Aufteilung von Administrationstätigkeiten,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A16 Zugangsbeschränkungen für administrative Zugänge,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A17 IT-Administration im Vier-Augen-Prinzip,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A18 Durchgängige Protokollierung administrativer Tätigkeiten,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.2 Ordnungsgemäße IT-Administration,OPS.1.1.2.A19 Berücksichtigung von Hochverfügbarkeitsanforderungen,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A1 Konzept für das Patch- und änderungsmanagement,Basis,Ja,"Die RECPLAST GmbH hat eine [Richtlinie Changemanagement] erstellt. Diese beschreibt die Vorgaben für das Durchführen von Änderungen. Änderungen müssen frühzeitig geplant und getestet werden. Die Patche werden nach der Wichtigkeit klassifiziert. Die Änderungen sind im Systemmanagement zu dokumentieren. Große Änderungen müssen mit dem Informationssicherheitsbeauftragten besprochen werden, um das Sicherhetisnvieau aufrechtzuhalten. Zusätzlich dazu muss immer eine Fallback-Lösung vorhanden sei.",Richtlinie Changemanagement,Administrator
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A2 Festlegung der Verantwortlichkeiten,Basis,Ja,Die Verantwortlichkeiten für das Patch- und Änderungsmanagement sind in der [Richtlinie Changemanagement] und im internen Wiki dokumentiert. Es wurde von der Geschäftsführung ein Änderungsmanager benannt. ,Richtlinie Changemanagement,Leiter Informationstechnik
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A3 Konfiguration von Autoupdate-Mechanismen,Basis,Ja,"Es wird bei jedem System abgewägt, ob Autoupdates schwerwiegende Folgen haben kann. Nach Möglichkeit wird das System so eingestellt, dass ein Hinweis auf ein neues Update erscheint und anschließend durch den IT-Betrieb installiert wird.",Richtlinie Changemanagement,Administrator
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A4 Planung des änderungsmanagementprozesses,Standard,Ja,Der Änderungsmanagementprozess ist in der [Richtlinie Changemanagement] definiert. Die Dokumentation und Steuerung des Änderungsprozesses findet im Systemmanagement des IT-Betriebs statt.,Richtlinie Changemanagement,Änderungsmanager
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A5 Umgang mit änderungsanforderungen,Standard,Ja,Änderungsanforderungen sind über das interne Ticketsystem zu stellen. Die Anforderung wird vom Änderungsmanager bearbeitet und bewertet.,,Änderungsmanager
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A6 Abstimmung von änderungsanforderungen,Standard,Ja,Die relevanten Zielgruppen werden durch den Änderungsmanager informiert. Kritische Änderungen können durch die Bewertung des Änderungsmanagers schneller umgesetzt werden.,,Änderungsmanager
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A7 Integration des änderungsmanagements in die Geschäftsprozesse,Standard,Ja,"Die Änderungsprozesse sehen vor, dass die Fachabteilungen über die anstehenden Änderungen informiert werden. Dadurch ist die Berücksichtigung der Geschäftsprozesse gegeben. Bei wichtigen Updates kann die Leitungsebene entscheiden, ob ein Update durchgeführt wird, obwohl der Geschäftsprozess eingeschränkt werden würde.",,Änderungsmanager
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A8 Sicherer Einsatz von Werkzeugen für das Patch- und änderungsmanagement,Standard,Ja,Es werden zwei Updateverwaltungstools eingesetzt. Diese ermöglichen das Einspielen von Updates aus der Ferne. Die Sicherheitsanforderungen dieser Tools sind in der Systemdokumentation definiert.,,Leiter Informationstechnik
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A9 Test- und Abnahmeverfahren für neue Hard- und Software,Standard,Ja,"Die RECPLAST GmbH testet neue Software, indem eine neue virtuelle Testmaschine aufgesetzt wird. In dieser wird das System ausgiebig getestet. Der IT-Betrieb und die Fachabteilung sind für die Abnahme verantwortlich. Die Freigabe wird durch die Fachabteilung gegeben. Die Freigabe wird schriftlich im Systemmanagement hinterlegt. Sollten trotz Test und Freigabe des Systems Fehler auftreten, wird der Zugriff auf das System unterbunden, bis die Fehlerbehebung erfolgreich war.",,Leiter Informationstechnik
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A10 Sicherstellung der Integrität und Authentizität von Softwarepaketen,Standard,Ja,Die beiden eingesetzten Updatetools haben eine Überprüfung der Integrität und Authentizität der Softwarepakete integriert.,,Administrator
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A11 Kontinuierliche Dokumentation der Informationsverarbeitung,Standard,Ja,"Änderungen werden immer im Systemmanagement bei dem entsprechenden System, Anwendung etc. dokumentiert. Die Administratoren werden dazu im [Administrationshandbuch] dazu verpflichtet.",,"Leiter Informationstechnik, Änderungsmanager"
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A12 Skalierbarkeit beim änderungsmanagement,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A13 Erfolgsmessung von änderungsanforderungen,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.3 Patch- und änderungsmanagement,OPS.1.1.3.A14 Synchronisierung innerhalb des änderungsmanagements,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A1 Erstellung eines Konzepts für den Schutz vor Schadprogrammen,Basis,Ja,Die RECPLAST GmbH hat ein [Virenschutzkonzept] erstellt.,Virenschutzkonzept,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A2 Nutzung systemspezifischer Schutzmechanismen,Basis,Ja,Die Systeme verfügen über die vom System gegebenen Schutzmechanismen. Zusätzlich dazu verfügt jedes System über eine Virenschutzsoftware.,Virenschutzkonzept,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A3 Auswahl eines Viren-Schutzprogrammes für Endgeräte,Basis,Ja,"Die RECPLAST GmbH hat eine Enterprise-Virenschutzsoftware im Einsatz, welche für alle eingesetzten Betriebssysteme verfügbar ist. Die Software deckt alle Anforderungen der RECPLAST GmbH ab und wird für alle Systeme eingesetzt.",Virenschutzkonzept,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A4 Auswahl eines Viren-Schutzprogrammes für Gateways und IT-Systeme zum Datenaustausch,Basis,Ja,"Die RECPLAST GmbH hat eine Enterprise-Virenschutzsoftware im Einsatz, welche für alle eingesetzten Betriebssysteme verfügbar ist. Die Software deckt alle Anforderungen der RECPLAST GmbH ab und wird für alle Systeme eingesetzt.",,IT-Betrieb
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A5 Betrieb von Viren-Schutzprogrammen,Basis,Ja,Die Virenschutzsoftware kann für jedes System einzeln angepasst werden. Die Einstellungen sind im Systemmanagement dokumentiert. ,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A6 Aktualisierung der eingesetzten Viren-Schutzprogramme und Signaturen,Basis,Ja,Die Signaturen der Virenschutz-Software aktualisiert sich regelmäßig. Updates des Virenschutz-Programms erfolgt nach Freigabe durch den IT-Betrieb. Nach dem Einspielen des Updates werden die Konfigurationseinstellungen der Software überprüft.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A7 Sensibilisierung und Verpflichtung der Benutzer,Basis,Ja,Die Mitarbeiter werden in der regelmäßigen Informationssicherheitsschulung bezüglich Bedrohungen durch Schadprogramme informiert. ,,Benutzer
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A8 Nutzung von Cloud-Diensten,Standard,Ja,Wenn möglich werden die Cloud-Dienste der Viren-Schutzprogramme eingesetzt.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A9 Meldung von Infektionen mit Schadprogrammen,Standard,Ja,"Die Virenschutzsoftware ist so konfiguriert, dass ein Schadprogramm automatisch geblockt wird und eine Mail an das Ticketsystem sendet. Die Administratoren entscheiden entsprechend die weiteren Vorgehensweise. Die Mitarbeiter sind dazu verpflichtet, sich bei Verdacht auf Schadprograme bei den Administratoren zu melden. Die Meldeketten sind entsprechend im internen Wiki dokumentiert. Für den Fall einer bestätigten Infektion eines Systems, existiert eine Anleitung für die ersten Schritte.",,"Administrator, Benutzer"
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A10 Nutzung spezieller Analyseumgebungen,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A11 Einsatz mehrerer Scan-Engines,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A12 Einsatz von Datenträgerschleusen,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A13 Umgang mit nicht vertrauenswürdigen Dateien,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A14 Auswahl und Einsatz von Cyber-Sicherheitsprodukten gegen gezielte Angriffe,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.4 Schutz vor Schadprogrammen,OPS.1.1.4.A15 Externe Beratung,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A1 Erstellung einer Sicherheitsrichtlinie für die Protokollierung,Basis,Ja,Die RECPLAST GmbH hat eine [Richtlinie zur Protokollierung] erstellt. Diese beschreibt die Aufgaben und Vorgaben bezüglich der Protokollierung. Die Protokollierung wird anhand des Schutzbedarfs bestimmt. Bei Änderungen der Richtlinie ist der ISB zwingend mit einzubinden. Die Richtlinie ist allen Fachverantwortlichen bekannt. Regelmäßig findet eine Überprüfung der Einhaltung der Vorgaben statt.,Richtlinie zur Protokollierung,Informationssicherheitsbeauftragter
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A2 Festlegung von Rollen und Verantwortlichkeiten,Basis,Ja,"Für jedes System, welches für die Protokollierung relevant sind wurden Verantwortliche benannt.",Richtlinie zur Protokollierung,Leiter Informationstechnik
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A3 Konfiguration der Protokollierung auf System- und Netzebene,Basis,Ja,Die Systeme der RECPLAST GmbH verfügen standardmäßig über eine Protokollierungsfunktion. Diese wird vom IT-Betrieb konfiguriert und auf Funktionsfähigkeit überprüft. Die Konfigurationen sind in der [Richtlinie zur Protokollierung] dokumentiert. ,Richtlinie zur Protokollierung,IT-Betrieb
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A4 Zeitsynchronisation der IT-Systeme,Basis,Ja,Die Zeit der einzelnen IT-Systeme ist über einen Zeitserver sichergestellt.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A5 Einhaltung rechtlicher Rahmenbedingungen,Basis,Ja,"Bei der Einrichtung der Protokollierung werden die aktuellen Gesetze eingehalten. Speziellen Auswertungen müssen vorher mit der Personalvertretung abgesprochen werden, um Persönlichkeitsrechte zu wahren. Die Daten werden automatisch vom System nach einem bestimmten Zeitraum gelöscht. ",,Informationssicherheitsbeauftragter
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A6 Aufbau einer zentralen Protokollierungsinfrastruktur,Standard,Teilweise,Die RECPLAST GmbH hat keinen zentralen Protokollierungsserver im Einsatz. Derzeit werden die Protokolldaten automatisch in ein bestimmtes Verzeichnis auf dem Dateiserver verschoben. Ein zentraler LOG-Server ist jedoch in naher Zukunft geplant.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A7 Sichere Administration von Protokollierungsservern,Standard,Ja,Der Zugriff auf das Log-Verzeichnis ist nur ausgewählten Administratoren möglich. Diese lassen sich aus dem Berechtigungskonzept ermitteln.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A8 Archivierung von Protokollierungsdaten,Standard,Ja,"Protokolldaten, welche Archivierungspflichtig sind werden vom IT-Betrieb in die Archivierung mit aufgenommen.",,IT-Betrieb
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A9 Bereitstellung von Protokollierungsdaten für die Auswertung,Standard,Nein,"Die Daten können zur Zeit nur manuell ausgewertet werden. Mit Einsatz eines zentralen Log-Servers, soll hier jedoch eine Lösung beschafft werden, welche eine automatisierte Auswertung möglich macht.",,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A10 Zugriffsschutz für Protokollierungsdaten,Standard,Ja,Der Zugriff auf das Log-Verzeichnis ist nur ausgewählten Administratoren möglich. Diese lassen sich aus dem Berechtigungskonzept ermitteln.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A11 Steigerung des Protokollierungsumfangs,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A12 Verschlüsselung,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.5 Protokollierung,OPS.1.1.5.A13 Hochverfügbare Protokollierungssysteme,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A1 Planung der Software-Tests,Basis,Ja,Die Rahmenbedingungen für einen Software-Test wurden zentral im Sicherheitskonzept dokumentiert. Die Tests werden auf Basis des Pflichtenhefts durchgeführt. ,,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A2 Durchführung von funktionalen Software-Tests,Basis,Ja,"Bei Änderungen an Software oder Einführung einer neuen Software werden im Vorfeld Tests durchgeführt. Diese werden so durchgeführt, dass der Produktivbetrieb nicht beeinflusst wird.",,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A3 Auswertung der Testergebnisse,Basis,Ja,Abweichungen zum Pflichtenheft werden entsprechend dokumentiert und anschließend ausgewertet.,,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A4 Freigabe der Software,Basis,Ja,Die Fachabteilung gibt nach der Bewertung der Testergebnisse die Software frei. Dies wird anhand einer Freigabeerklärung dokumentiert. ,,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A5 Durchführung nicht-funktionaler Software-Tests,Basis,Ja,Es werden vom IT-Betrieb sicherheitsspezifische Tests der Software durchgeführt und entsprechend dokumentiert. ,,IT-Betrieb
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A6 Geordnete Einweisung der Software-Tester,Standard,Ja,"Die jeweiligen Tester der Software werden vom IT-Betrieb über die Vorgehensweise und zu testenden Funktionen, Bereiche etc. informiert.",,"IT-Betrieb, Benutzer"
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A7 Personalauswahl der Software-Tester,Standard,Ja,"Es werden nur Software-Tester ausgewählt, welche bereits über die erforderlichen beruflichen Qualifikation verfügen. Hier wird darauf geachtet, dass ein Mitarbeiter nicht alles testet, sondern jeder einen speziellen Bereich, für den der Tester ein Experte ist.",,"Leiter Informationstechnik, Leiter Personal"
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A8 Fort- und Weiterbildung der Software-Tester,Standard,Ja,Die Mitarbeiter werden entsprechend geschult und auf Neuerungen hingewiesen. Dafür werden den Mitarbeitern ausreichend Ressorucen zur Verfügung gestellt.,,Leiter Personal
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A9 Beschaffung von Test-Software,Standard,Ja,Software wird immer anhand eines Anforderungskatalogs ausgewählt. Diese wird immer einen Test- und Freigabeprozess unterzogen. Es werden mit den jeweiligen Hersteller Supportleistungen vertraglich festgelegt.,,IT-Betrieb
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A10 Erstellung eines Abnahmeplans,Standard,Ja,"Bei Softwaretests werden die Ergebnisse immer dokumentiert. Dabei ist zu beschreiben, welches Testfälle durchgeführt und welche Ergebnisse erwartet werden. In der Dokumentation ist zu definieren, welche Kritierien für eine Freigabe erfüllt sein müssen. Ebenso ist der Prozess einer Ablehnung zu dokumentieren.",,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A11 Verwendung von anonymisierten oder pseudonymisierten Testdaten,Standard,Ja,Es werden immer nur Testdaten genutzt. Produktivdaten kommen bei einem Softwaretest nicht zum Einsatz. ,,Datenschutzbeauftragter
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A12 Durchführung von Regressionstests,Standard,Ja,Bei Änderungen einer Software werden immer Regressionstests durchgeführt. Diese werden entsprechend dokumentiert.,,
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A13 Trennung von Test- und Qualitätsmanagement-Umgebung von der Produktivumgebung,Standard,Ja,"Für Tests werden virtuelle Maschinen eingerichtet, welche vom Produktivbetrieb getrennt sind. Nach Ablauf der Tests wird die virtuelle Maschine wieder gelöscht.",,IT-Betrieb
Informationsverbund,OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A14 Durchführung von Penetrationstests,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,OPS.1.2.2 Archivierung,OPS.1.2.2.A1 Ermittlung von Einflussfaktoren für die elektronische Archivierung,Basis,Ja,Die möglichen Einflussfaktoren wurden in der Beschaffung einer Archivierungslösung berücksichtigt. Diese wurden entsprechend im Anforderungskatalog dokumentiert. Diese Anforderungen wurden zusätzlich ins [Archivierungskonzept] mit aufgenommen.,Archivierungskonzept,Informationssicherheitsbeauftragter
Informationsverbund,OPS.1.2.2 Archivierung,OPS.1.2.2.A2 Entwicklung eines Archivierungskonzepts,Basis,Ja,"Das [Archivierungskonzept] enthält die relevanten Informationen über die Ziele, die Verantwortlichkeiten und die Regularien, welche einzuhalten sind. Das Archivierungskonzept wurde mit dem Management besprochen und anschließend durch die Geschäftsführung freigegeben. Das Dokument wird jährlich auf Aktualität geprüft.",Archivierungskonzept,Informationssicherheitsbeauftragter
Informationsverbund,OPS.1.2.2 Archivierung,OPS.1.2.2.A3 Geeignete Aufstellung von Archivsystemen und Lagerung von Archivmedien,Basis,Ja,Die Systeme stehen in einem Serverraum. Zutritt haben nur berechtigte Mitarbeiter. Die Archivdaten werden im extern ausgelagerten Datenarchiv aufbewahrt.,,Informationssicherheitsbeauftragter
